,contributor,type,commit,repo,PR,issue
0,lszomoru,Human,114.0,11.0,30,73.0
1,piraces,Human,31.0,17.0,27,5.0
2,CoolPlayLin,Human,117.0,79.0,75,24.0
3,lutzroeder,Human,139.0,62.0,32,52.0
4,TejasMate,Human,138.0,84.0,71,7.0
5,dmitriy-abramov,Human,5.0,6.0,6,
6,twpayne,Human,100.0,75.0,53,52.0
7,stacklokbot,Bot,187.0,16.0,23,
8,CHIZI-0618,Human,36.0,134.0,5,21.0
9,Nifury,Human,46.0,33.0,22,14.0
10,jjw24,Human,202.0,20.0,18,34.0
11,exoosh,Human,18.0,128.0,8,27.0
12,SpecterShell,Human,94.0,127.0,76,2.0
13,youtube-music-winget,Human,9.0,18.0,9,
14,azure-pipelines[bot],Bot,21.0,39.0,8,228.0
15,msftbot[bot],Bot,,,1,210.0
16,msftrubengu,Human,40.0,16.0,29,19.0
17,kevinboss,Human,59.0,59.0,14,5.0
18,rozmansi,Human,135.0,29.0,9,25.0
19,stephengillie,Bot,4.0,,6,119.0
20,ItzLevvie,Human,134.0,17.0,9,19.0
21,stenya,Human,53.0,77.0,5,39.0
22,ateoi,Human,96.0,95.0,55,1.0
23,xiaoyang-sde,Human,85.0,23.0,27,6.0
24,ath0mas,Human,21.0,22.0,7,7.0
25,auanasgheps,Human,52.0,33.0,29,90.0
26,MaanuelMM,Human,57.0,95.0,42,21.0
27,marcauberer,Human,126.0,42.0,70,17.0
28,JakubMatejka,Human,52.0,102.0,57,18.0
29,azclibot,Bot,110.0,60.0,53,76.0
30,cafkbot-winget,Human,12.0,22.0,12,
31,itsAdee,Human,60.0,104.0,37,3.0
32,pulumi-bot,Bot,25.0,35.0,37,48.0
33,robot-github-winget-datadog-agent,Human,27.0,18.0,16,
34,FaserF,Human,63.0,31.0,23,45.0
35,zkochan,Human,168.0,51.0,39,31.0
36,aaronliu0130,Human,37.0,47.0,28,144.0
37,coolplaylinbot,Bot,233.0,33.0,29,5.0
38,podman-desktop-bot,Bot,13.0,14.0,21,
