contributor,bothunter,app
lszomoru,Human,False
piraces,Human,False
CoolPlayLin,Human,False
lutzroeder,Human,False
TejasMate,Human,False
dmitriy-abramov,Human,False
twpayne,Human,False
stacklokbot,Bot,False
CHIZI-0618,Human,False
Nifury,Human,False
jjw24,Human,False
exoosh,Human,False
SpecterShell,Human,False
youtube-music-winget,Human,False
azure-pipelines[bot],Bot,True
msftbot[bot],Bot,True
msftrubengu,Human,False
kevinboss,Human,False
nvim-winget,Bot,False
rozmansi,Human,False
stephengillie,Bot,False
ItzLevvie,Human,False
stenya,Human,False
ateoi,Human,False
xiaoyang-sde,Human,False
ath0mas,Human,False
auanasgheps,Human,False
MaanuelMM,Human,False
marcauberer,Human,False
JakubMatejka,Human,False
azclibot,Bot,False
cafkbot-winget,Human,False
itsAdee,Human,False
pulumi-bot,Bot,False
robot-github-winget-datadog-agent,Human,False
FaserF,Human,False
zkochan,Human,False
aaronliu0130,Human,False
coolplaylinbot,Bot,False
podman-desktop-bot,Bot,False
