,account,prediction,confidence
0,lszomoru,bot,0.93
1,piraces,human,1.0
2,CoolPlayLin,human,0.909
3,lutzroeder,human,0.948
4,TejasMate,bot,0.763
5,dmitriy-abramov,human,0.991
6,twpayne,human,0.999
7,stacklokbot,bot,0.965
8,CHIZI-0618,human,0.985
9,Nifury,human,0.999
10,jjw24,human,0.992
11,exoosh,human,0.999
12,SpecterShell,bot,0.987
13,youtube-music-winget,bot,0.944
14,azure-pipelines[bot],app,1.0
15,msftbot[bot],app,1.0
16,msftrubengu,human,0.998
17,kevinboss,human,0.935
18,nvim-winget,unknown,
19,rozmansi,human,0.993
20,stephengillie,bot,0.786
21,ItzLevvie,human,0.728
22,stenya,human,0.999
23,ateoi,bot,0.57
24,xiaoyang-sde,human,0.999
25,ath0mas,human,0.992
26,auanasgheps,human,0.991
27,MaanuelMM,human,0.999
28,marcauberer,human,0.996
29,JakubMatejka,human,0.989
30,azclibot,bot,0.994
31,cafkbot-winget,bot,0.99
32,itsAdee,human,0.998
33,pulumi-bot,bot,0.955
34,robot-github-winget-datadog-agent,bot,0.925
35,FaserF,human,0.998
36,zkochan,human,0.998
37,aaronliu0130,human,0.999
38,coolplaylinbot,bot,0.998
39,podman-desktop-bot,human,0.621
